,name,area,volume,normalized_joints,normalized_contacts,normalized_holes,material
0,Tekerlek Kapak (3),151.03989302501495,27.522817564026177,2,7,0,Metal_Non-Ferrous
1,Piston,106.12378523642663,60.19144262122406,3,15,1,Metal_Ferrous_Steel
2,Oturak Bağlantı,269.28981445144535,131.81453584825127,1,1,0,Metal_Ferrous_Steel
3,Tekerlek Kapak (1),151.03988658383088,27.522824348892577,2,7,0,Metal_Non-Ferrous
4,Tekerlek (3),168.57563671241408,21.873715214186596,1,5,2,Plastic
5,Tekerlek (1),168.57563671241385,21.87371521418657,1,5,2,Plastic
6,Ayak,2978.108261319095,3363.5659863493074,6,11,6,Plastic
7,Tekerlek Kapak (2),151.03988881811094,27.52281824346114,2,7,0,Metal_Non-Ferrous
8,Tekerlek,168.57563671241385,21.87371521418677,1,5,2,Plastic
9,Tekerlek (4),168.57563671241388,21.873715214186593,1,5,2,Plastic
10,Tekerlek Kapak (4),151.03989125904354,27.52282399130743,2,7,0,Metal_Non-Ferrous
11,Tekerlek Kapak,151.03987214149396,27.52288631913119,2,7,0,Metal_Non-Ferrous
12,Tekerlek (2),168.57563671241377,21.87371521418657,1,5,2,Plastic
13,Sol Kol Dayama,451.79472948589614,149.39869347424937,0,0,2,Plastic
14,Sol Kol Dayama (1),451.79472948589614,149.39866383071433,0,0,2,Plastic
15,pins,0.37074149719156635,0.002842525025091426,0,0,0,Metal_Aluminum
16,button,0.5586851295511408,0.016222913500772006,0,0,0,Plastic
17,shield,0.9750369288741072,0.0023653678059978034,0,0,1,Metal_Aluminum
18,black box,0.14984933507685932,0.0027921771272515607,0,0,0,Metal_Aluminum
19,black box (3),0.1498493350768593,0.002792177127251563,0,0,0,Metal_Aluminum
20,black box (2),0.14984933507685927,0.002792177127251563,0,0,0,Metal_Aluminum
21,black box (1),0.1498493350768592,0.002792177127251561,0,0,0,Metal_Aluminum
22,stripe,0.2678581002019598,0.005309708803532988,0,0,0,Metal_Aluminum
23,stripe (1),0.26785810020196,0.005309708803532988,0,0,0,Metal_Aluminum
24,Looks like a bug,0.17314233764908635,0.002710800000000003,0,0,0,Metal_Aluminum
25,Looks like a bug (3),0.17314233764908632,0.0027108000000000015,0,0,0,Metal_Aluminum
26,Looks like a bug (1),0.17314233764908635,0.0027108000000000024,0,0,0,Metal_Aluminum
27,Looks like a bug (2),0.17314233764908635,0.0027108000000000024,0,0,0,Metal_Aluminum
28,Edge Box,0.7006750076757948,0.035577863706143575,0,0,0,Metal_Aluminum
29,black box (4),0.2428654952678967,0.005434357257064674,0,0,0,Metal_Aluminum
30,black box (5),0.2169096752148953,0.005245281020905463,0,0,0,Metal_Aluminum
31,0905,0.42336067841310704,0.012266874900034048,0,0,0,Plastic
32,Big Black Box,0.989474197117618,0.039374015513179435,0,0,0,Metal_Aluminum
33,back,2.068809651680442,0.10283711256844381,0,24,1,Plastic
34,back cap,0.9457999955137146,0.01502040798134427,0,0,2,Metal_Aluminum
35,pin,0.7429670276199012,0.030307876989500982,0,3,0,Metal_Aluminum
36,LEDs,48.012357339023296,5.723060649612378,0,1,0,Plastic
37,Lens,65.60262748219944,8.034476168312102,0,18,2,Plastic
38,Shade Top,468.0749565918601,120.9705872184883,0,3,0,Plastic
39,Main Arm,637.7822487156529,355.69265690623274,0,5,0,Plastic
40,Left Support,273.2671338339338,157.39359711711975,0,3,0,Plastic
41,Left Base,411.52537732684726,251.129643436399,0,3,0,Plastic
42,Center Block,78.88685802260221,41.19168044042564,0,3,0,Plastic
43,Right Support,273.2671338339354,157.39359711711757,0,3,0,Plastic
44,Top Pin,19.981470001569132,4.602668418693543,0,0,0,Plastic
45,Bottom Pin,19.98147000156913,4.602668418693541,0,0,0,Plastic
46,Shade,459.7158656911676,28.391794359857254,0,5,0,Plastic
47,Right Base,409.48346472983667,249.41112634605102,0,4,0,Plastic
48,002 Motor Mount,151.7148477911761,27.81511308938013,0,3,23,Plastic
49,004 Hub Body,32.25892866000223,3.2224739335038692,0,2,3,Plastic
50,008 Magnet Holding,4.360530603182615,0.3920707631680101,0,0,1,Plastic
51,100-StandBack,86.280063095276,13.405137267008012,0,0,17,Metal_Ferrous_Steel
52,101-StandFront,97.41028263028257,14.782564793464374,0,0,20,Metal_Ferrous_Steel
53,102-StandBottom,59.705366010920095,13.235708860159466,0,0,7,Metal_Ferrous_Steel
54,006 Hub Weight Forward,10.296902020745993,0.700621891613197,0,0,2,Plastic
55,007 RX Ring Cap,11.800753416661012,0.4554785350168908,0,0,3,Plastic
56,003 RX Ring,90.10218637851577,8.148012559896705,0,0,0,Plastic
57,001 Main Housing,187.66490575757834,40.400361924475106,0,5,36,Plastic
58,201-OutFront,26.294437071850755,2.0992358968563014,0,0,16,Plastic
59,201-OutBack,80.81240062283247,8.374694711624945,0,0,0,Plastic
60,005 Hub,24.17938687927988,2.7775418261184233,0,0,2,Plastic
61,Clo,4.343000508094353,0.0989003108085025,0,3,1,Metal_Ferrous
62,lect,4.846340294552056,0.04657634394226579,0,10,0,Metal_Non-Ferrous
63,or,6.645615059488621,0.1850835531497554,0,17,0,Metal_Ferrous
64,結合面,0.017250789769708667,0.0,0,0,0,Metal_Non-Ferrous
65,Front Roof,910.9495238518091,604.4551523490737,1,0,0,Wood
66,Left Side,571.4608095728795,394.4736704706627,0,10,4,Wood
67,Back Side,578.1225310637859,394.29967645806107,0,0,4,Wood
68,Left Mesh,49.469782443562934,0.7244400400845832,0,0,0,Metal_Ferrous
69,Base,842.1395941622657,663.8503316091312,7,133,92,Wood
70,Back Mesh,49.46978244567061,0.7244420775736929,0,0,0,Metal_Ferrous
71,Bottom Mesh 2,134.93290874778577,1.97839958312503,0,0,0,Metal_Ferrous
72,Bottom Mesh 1,134.93290874778623,1.9783995831250252,0,0,0,Metal_Ferrous
73,Front Mesh,49.46978244567037,0.7244420775737123,0,0,0,Metal_Ferrous
74,Back Roof,908.3421537039983,603.9087661251414,1,0,0,Wood
75,Right Side,571.4608095728801,394.4736704706658,0,10,4,Wood
76,Tray Back,241.9959762609075,110.64172204770956,0,0,0,Wood
77,Tray Right,267.7608787287754,122.93524671967722,0,0,0,Wood
78,Right Mesh,49.46978244356301,0.7244400400845793,0,0,0,Metal_Ferrous
79,Tray Front,241.99597626090662,110.64172204770958,0,0,0,Wood
80,Platform,447.1250436030734,68.11165603480973,0,5,7,Plastic
81,Screw 2,1.822428223334397,0.07103891785445815,0,6,180,Plastic
82,Screw 3,1.8224282233343976,0.07103891785445816,0,3,0,Plastic
83,Screw 4,1.822428223334398,0.07103891785445815,0,3,0,Plastic
84,Pole,253.36275120537613,154.45016203087556,0,32,0,Plastic
85,Front Side,578.122531063786,394.2996764580345,0,0,4,Wood
86,Tray Left,267.7608787287763,122.93524671967748,0,0,0,Wood
87,6,382.6474361870131,61.81353501521154,2,62,2,Metal_Ferrous_Steel
88,5,2053.2018158232368,757.3803547927856,0,64,0,Metal_Ferrous_Steel
89,4,1388.351471800324,887.0725485610545,0,40,0,Metal_Ferrous_Steel
90,3,1116.4850948581088,473.38977200483714,5,79,3,Metal_Ferrous_Steel
91,1 (1),467.7052839776439,201.36236782870498,0,29,1,Metal_Ferrous_Steel
92,1,514.6891852703629,413.42928816239083,6,48,2,Metal_Ferrous_Steel
93,Outer Socket (2) (2),3061.6006080243246,2288.8519108092673,0,40,0,Other
94,Inner Socket (1),2951.8330510580145,1289.2672262744618,0,10,0,Plastic
95,Inner Liner (1),2603.153768569544,202.5562940873577,0,2,0,Plastic
96,Buckle,25.523423809920757,2.9994342818450144,0,4,0,Other
97,Buckle (1),25.523423814737964,2.9994308985923324,0,4,0,Other
98,Buckle (1) (1),25.523423721970232,2.999435952064571,0,2,0,Other
99,Buckle (1) (1) (1),25.52342345676848,2.999433597052001,0,6,0,Other
100,Buckle (1) (2),25.52342345728444,2.9994339796791376,0,6,0,Other
101,Buckle (2),25.523423722933753,2.9994359367542973,0,6,0,Other
102,Buckle (3),25.52342363751977,2.999435688186163,0,6,0,Other
103,Buckle (1) (1) (1) (1),25.523423393142394,2.9994347992699826,0,2,0,Other
104,Buckle (2) (1),25.52342340532365,2.9994315769648376,0,4,0,Other
105,Buckle (1) (2) (1),25.5234233882975,2.9994352266862063,0,4,0,Other
106,Buckle (1) (3),25.52342383718977,2.9994310929699872,0,6,0,Other
107,Buckle (1) (1) (2),25.523423818089835,2.9994348692019606,0,4,0,Other
108,upper,1253.4840690015444,111.90721940409668,0,33,0,Other
109,front,75.60970130184717,14.217675785408723,0,19,6,Plastic
110,sole stitch,588.4573344516771,283.5552605158181,0,14,0,Plastic
111,laces,378.0535250944628,71.03305534082499,0,5,0,Plastic
112,Deck,508.5561327370682,53.36729301985856,0,16,33,Other
113,Tire,128.26090134525145,45.22316590584877,0,91,3,Other
114,Wheel (1),130.3381631301187,19.9071093570248,0,1,0,Metal_Ferrous_Steel
115,Wheel,130.33816313011863,19.907109357024765,0,11,3,Metal_Ferrous_Steel
116,Tire (1),128.26090134525145,45.223165905848774,0,1,1,Other
117,Wheel (2),130.33816313011852,19.90710935702479,0,1,0,Metal_Ferrous_Steel
118,Tire (2),128.26090134525145,45.22316590584882,0,1,1,Other
119,Wheel (3),130.3381631301184,19.90710935702474,0,1,0,Metal_Ferrous_Steel
120,Tire (3),128.26090134525145,45.223165905848795,0,1,1,Other
121,Bumper Mount,35.78865453480357,3.3256137150637963,0,3,4,Other
122,Axle Pillow Block,8.868997364323462,1.2132250198413108,0,1,0,Metal_Aluminum
123,Axle Pillow Block (1),2.5913403173776097,0.24810293900049635,0,2,1,Metal_Aluminum
124,Front Axle,4.667621285071032,0.33946872117444693,0,9,0,Metal_Ferrous_Steel
125,Front Axle (1),4.667621285071032,0.33946872117444693,0,4,0,Metal_Ferrous_Steel
126,LCD,47.177510106792134,8.478394491268716,0,0,22,Metal_Non-Ferrous
127,pin (1),0.33545087825079745,0.007198208333333322,0,0,0,Metal_Non-Ferrous
128,pin (2),0.33545087825079745,0.007198208333333322,0,0,0,Metal_Non-Ferrous
129,pin (3),0.33545087825079745,0.007198208333333322,0,0,0,Metal_Non-Ferrous
130,pin (4),0.33545087825079745,0.007198208333333322,0,0,0,Metal_Non-Ferrous
131,pin (5),0.33545087825079745,0.007198208333333322,0,0,0,Metal_Non-Ferrous
132,pin (6),0.3354508782507975,0.007198208333333323,0,0,0,Metal_Non-Ferrous
133,pin (7),0.33545087825079745,0.007198208333333322,0,0,0,Metal_Non-Ferrous
134,Joystick PCB,19.794940249867686,1.291433134281343,0,0,9,Other
135,Pot Block,13.760000000000002,3.456000000000001,0,0,0,Metal_Non-Ferrous
136,Joystick shaft,8.46172273281143,1.749780714251579,0,0,0,Metal_Non-Ferrous
137,Joystick knob,8.21921904904044,1.3554596834934787,0,0,0,Metal_Non-Ferrous
138,Joystick base,14.900750671674798,0.4837376262360076,0,0,0,Metal_Non-Ferrous
139,Блок питания,1000.0,2100.0,0,2,0,Metal_Aluminum
140,Колонка,753.9822368615505,1407.4335088082273,0,0,0,Other
141,Усилитель,1592.0,3120.0,0,3,0,Metal_Aluminum
142,Низ (1),3478.3199575826193,1665.3204877998787,0,2,0,Other
143,Крест большой,1358.0000000000005,603.0000000000005,0,8,0,Other
144,GENERAL,9214.221313568754,4453.012903225829,0,20,0,Other
145,Колонка (1),753.9822368615505,1407.4335088082273,0,0,0,Other
146,Крест,958.0,395.0,0,0,0,Plastic
147,Крышка #1,1478.162365412358,693.6642857142842,0,3,0,Other
148,Крышка #2,1478.162365412358,693.6642857142854,0,4,0,Other
149,Крышка #3,1478.162365412358,693.6642857142849,0,3,0,Other
150,Крышка #4,1478.162365412358,693.664285714281,0,3,0,Other
151,Car body,149101.77344713916,0.0,0,0,0,Metal_Ferrous
152,wheel,7418.1393527694145,7661.430221822793,0,20,1,Metal_Ferrous
153,wheel copy,7418.1393527694,7661.430221822685,0,0,0,Metal_Ferrous
154,tire tread,93.05965438239338,23.634799369072283,0,0,0,Metal_Ferrous
155,center console,29739.628192896475,168895.7232467763,0,0,0,Metal_Ferrous
156,seat 2,10771.769597749922,43208.31825080062,0,0,0,Metal_Ferrous
157,seat 2 (1),10771.76959774991,43208.31825080062,0,0,0,Metal_Ferrous
158,Holder,156.765568894741,94.904871280864,0,8,2,Plastic
159,Screw,51.38250563018445,13.434101316807709,4,38,0,Metal_Ferrous_Steel
160,DRILL VICE ADJUSTER SCREW,110.83471273012087,46.69758351067585,2,5,1,Metal_Ferrous_Steel
161,DRILL VICE T BAR,21.480434182069366,3.1395283549451007,2,0,0,Metal_Ferrous_Steel
162,DRILL VICE T BAR END,4.31223940647686,0.4567696712988195,1,0,1,Metal_Ferrous_Steel
163,HEX SOCKET CAP HEAD SCREW,9.51224071858545,1.20741442052231,0,4,0,Metal_Ferrous_Steel
164,DRILL VICE JAW SLIDE LOCATOR,43.84418270555155,12.318415944622503,4,6,2,Metal_Ferrous_Steel
165,HEX HEAD SCREW,5.047577037597279,0.5673075361690861,2,5,0,Metal_Ferrous_Steel
166,Lin. Long Steel,123.19911365173881,37.21681408993337,0,0,0,Metal_Aluminum
167,Lin. Start black,72.75548577331557,33.76309284952811,0,0,0,Plastic
168,Lin. Middle black,5.656725575684664,0.8302182849062381,0,0,0,Plastic
169,Lin. Shaft,2.1496277976506546,0.24623506541608775,0,0,0,Metal_Aluminum
170,Lin. End black,0.6938517755236,0.04124547630969576,0,0,0,Plastic
171,Slider 1,419.65958994806937,28.024521659375985,0,0,0,Metal_Ferrous_Steel
172,Slider 2,307.89104370977,20.392820034338886,0,0,0,Metal_Ferrous_Steel
173,Slider 3,224.7846899788062,15.267403571344598,0,0,2,Metal_Ferrous_Steel
174,Cap - Shoulder right top (1) (1),8.441831308663833,0.38307620259998704,0,0,0,Plastic
175,Shoulder top (1),132.53684748932966,10.353490142205262,0,0,1,Metal_Non-Ferrous
176,Cap - Shoulder right bottom (1),8.441831308663833,0.38307620259998726,0,0,0,Plastic
177,Shoulder right (1) (1),144.65885203494327,11.324129843036882,0,0,1,Metal_Non-Ferrous
178,Cap - Shoulder right top (1) (1) (1),8.441831308663836,0.38307620259998726,0,0,0,Plastic
179,Shoulder right (1) (1) (1),144.65885203494332,11.32412984303689,0,0,1,Metal_Non-Ferrous
180,Cap - Shoulder right bottom (1) (1),8.441831308663836,0.38307620259998715,0,0,0,Plastic
181,Hub - Shoulder left (1),10.23711031397412,0.682361054111273,0,0,2,Metal_Ferrous_Steel
182,Hub - Shoulder right (1),10.237110313974126,0.6823610541112763,0,0,1,Metal_Ferrous_Steel
183,Shoulder right (1) (1) (1) (1),286.0822384004475,22.648259686073786,0,0,1,Metal_Non-Ferrous
184,Cap - Shoulder right top (1) (1) (1) (1),7.848086740982572,0.33557846995117524,0,0,0,Plastic
185,Shaft - Shoulder,32.62011870415053,7.799083145470654,0,0,0,Metal_Aluminum
186,Platform 2 - Elbow,239.89469483217778,36.05509347316946,0,0,3,Metal_Non-Ferrous
187,Elbow Right cap 1,33.76732523465533,3.064609620799852,0,0,0,Plastic
188,Elbow Left cap 1,33.767325234655324,3.064609620799872,0,0,0,Plastic
189,Screw 2 Left,1.2792215848435964,0.07791123107504686,0,0,0,Metal_Non-Ferrous
190,Screw 1 Left,1.2792215848436002,0.07791123107504701,0,0,0,Metal_Non-Ferrous
191,Screw 3 Left,1.2792215848435993,0.07791123107504694,0,0,0,Metal_Non-Ferrous
192,Screw 5 Left,1.2792215848435962,0.077911231075047,0,0,0,Metal_Non-Ferrous
193,Screw 6 Left,1.2792215848436002,0.07791123107504709,0,0,0,Metal_Non-Ferrous
194,Screw 3 Left (1),1.279221584843599,0.07791123107504695,0,0,0,Metal_Non-Ferrous
195,Standoff,1.419332932314736,0.05181490015327476,0,0,1,Metal_Ferrous_Steel
196,Standoff 2,1.419332932314736,0.05181490015327473,0,0,1,Metal_Ferrous_Steel
197,Standoff 3,1.419332932314736,0.05181490015327473,0,0,1,Metal_Ferrous_Steel
198,Standoff 4,1.419332932314736,0.05181490015327476,0,0,1,Metal_Ferrous_Steel
199,Screw 3 Left (1) (1),1.2792215848435993,0.07791123107504686,0,0,0,Metal_Non-Ferrous
200,Standoff (1),1.4193329323147357,0.05181490015327476,0,0,1,Metal_Ferrous_Steel
201,Standoff 2 (1),1.4193329323147357,0.05181490015327473,0,0,1,Metal_Ferrous_Steel
202,Standoff 3 (1),1.4193329323147357,0.05181490015327473,0,0,1,Metal_Ferrous_Steel
203,Standoff 4 (1),1.4193329323147357,0.05181490015327476,0,0,1,Metal_Ferrous_Steel
204,Screw 2 Left (1),1.2792215848435964,0.07791123107504677,0,0,0,Metal_Non-Ferrous
205,Screw 1 Left (1),1.2792215848436004,0.07791123107504694,0,0,0,Metal_Non-Ferrous
206,Screw 3 Left (2),1.2792215848435993,0.07791123107504687,0,0,0,Metal_Non-Ferrous
207,Screw 5 Left (1),1.2792215848435964,0.07791123107504681,0,0,0,Metal_Non-Ferrous
208,Screw 6 Left (1),1.2792215848436004,0.07791123107504691,0,0,0,Metal_Non-Ferrous
209,Screw 5 Left (1) (1),3.5336857916353845,0.3335548474634033,0,0,0,Metal_Non-Ferrous
210,Screw 5 Left (1) (1) (1),3.533685791635384,0.33355484746340425,0,0,0,Metal_Non-Ferrous
211,Left top gear,18.055419575399696,1.6703749589391415,0,0,0,Other
212,Right top gear,18.207056958233697,1.68438890000815,0,0,0,Other
213,Servo,60.88790535892747,28.64091606238234,0,0,0,Plastic
214,Servo screw 1,1.0791620985604373,0.08126244252966054,0,0,0,Metal_Ferrous_Steel
